Player,Surface,return_pct,win_pct
Jannik Sinner,Hard,3994.4,8928.6
Carlos Alcaraz,Hard,4078,7561
Novak Djokovic,Hard,3992.4999999999995,8611.1
Daniil Medvedev,Hard,4006.4,7451.000000000001
Alexander Zverev,Hard,3670.7000000000003,7272.700000000001
Grigor Dimitrov,Hard,3663.0000000000005,7500
Alex De Minaur,Hard,4146.7,7096.8
Andrey Rublev,Hard,3768.5,6595.699999999999
Casper Ruud,Hard,3553.7,6666.7
Hubert Hurkacz,Hard,3426.6000000000004,6862.700000000001
Stefanos Tsitsipas,Hard,3507.7000000000007,6136.4
Taylor Fritz,Hard,3853.3,7045.5
Tomas Machac,Hard,3731.3,6521.7
Karen Khachanov,Hard,3654,6388.9000000000005
Tommy Paul,Hard,3988.9,6383
Holger Rune,Hard,3446.7,5384.5999999999995
Ugo Humbert,Hard,3729,6981.1
Jiri Lehecka,Hard,3554.9999999999995,5609.8
Ben Shelton,Hard,3447,6341.5
Tallon Griekspoor,Hard,3188.7,5476.2
Nicolas Jarry,Hard,3436.1999999999994,6000
Jakub Mensik,Hard,3375.1,6875
Felix Auger Aliassime,Hard,3641.7999999999997,5151.5
Alexander Bublik,Hard,3698.8,5714.3
Jan Lennard Struff,Hard,3444.7000000000003,4000
Hamad Medjedovic,Hard,3284.2,8000
Sebastian Korda,Hard,3656.5999999999995,5714.3
Matteo Arnaldi,Hard,3580.2,5833.3
Jack Draper,Hard,3875.3,6206.9000000000005
Sebastian Baez,Hard,3764.3,5000
Cameron Norrie,Hard,3504.9999999999995,3928.6000000000004
Matteo Berrettini,Hard,3422.7999999999993,3333.2999999999997
Marton Fucsovics,Hard,3502.2,4347.8
Flavio Cobolli,Hard,3643.9,5000
Gael Monfils,Hard,3700.3,6153.799999999999
Fabian Marozsan,Hard,3817.1,5806.5
Alejandro Tabilo,Hard,3465.2999999999997,6428.6
Adrian Mannarino,Hard,3726.8,6046.5
Frances Tiafoe,Hard,3517.4999999999995,4848.5
Tomas Martin Etcheverry,Hard,3516.5999999999995,4090.9
Emil Ruusuvuori,Hard,3808.7000000000003,5806.5
Alejandro Davidovich Fokina,Hard,3852.4,5454.5
Jordan Thompson,Hard,3647.6,5526.3
Francisco Cerundolo,Hard,3496.7,4285.7
Lukas Klein,Hard,3365.0000000000005,3750
Roman Safiullin,Hard,3666.7000000000003,5000
Alexei Popyrin,Hard,3485.3,5200
Pavel Kotov,Hard,3558.9999999999995,5000
Thiago Seyboth Wild,Hard,3097.5,3571.3999999999996
Roberto Bautista Agut,Hard,3473.3,3750
Milos Raonic,Hard,3134.1,5454.5
Botic Van De Zandschulp,Hard,3579.6,4375
Christopher Oconnell,Hard,3410.9,5000
Marcos Giron,Hard,3626.7000000000003,4705.9
Alexander Shevchenko,Hard,3462.6000000000004,5000
Juncheng Shang,Hard,3561.1,5000
Lorenzo Musetti,Hard,3491.2,3939.3999999999996
Arthur Fils,Hard,3340.2000000000003,5625
Dominik Koepfer,Hard,3693.1999999999994,5769.2
Miomir Kecmanovic,Hard,3703.2,4687.5
Roberto Carballes Baena,Hard,3709.4,3571.3999999999996
Zhizhen Zhang,Hard,3416.2999999999997,4827.6
Aslan Karatsev,Hard,3644.4,5555.5999999999995
Nicolas Moreno De Alboran,Hard,3043.5,1666.7000000000003
Yoshihito Nishioka,Hard,3395.7000000000003,4074.1
Brandon Nakashima,Hard,3486.3,4117.6
Cristian Garin,Hard,3590,3636.3999999999996
Dusan Lajovic,Hard,3308.4000000000005,4347.8
Nuno Borges,Hard,3448.1000000000004,4230.8
Borna Gojo,Hard,3497,5333.3
Yibing Wu,Hard,3557.3999999999996,4000
Alex Michelsen,Hard,3608.6,4400
Borna Coric,Hard,3708.8,5000
Laslo Djere,Hard,3636.9,5238.1
Denis Shapovalov,Hard,3583.9999999999995,3333.2999999999997
Yannick Hanfmann,Hard,3346,3500
Christopher Eubanks,Hard,2927.7999999999997,3750
Michael Mmoh,Hard,3544.1000000000004,6000
Dominic Stricker,Hard,3499.2000000000003,4285.7
Alexandre Muller,Hard,3754.7999999999993,2941.2
Corentin Moutet,Hard,3435.5999999999995,1250
Lorenzo Sonego,Hard,3305.1000000000004,4375
Mackenzie Mcdonald,Hard,3897.7,5000
Harold Mayot,Hard,3660.4999999999995,5714.3
Thanasi Kokkinakis,Hard,3283.0999999999995,4090.9
Sebastian Ofner,Hard,3451.6000000000004,5172.4
Andy Murray,Hard,3666.2999999999997,4285.7
Facundo Diaz Acosta,Hard,3222.5,1666.7000000000003
Gregoire Barrere,Hard,3420.5999999999995,3125
David Goffin,Hard,3459.9999999999995,2857.1000000000004
Aleksandar Kovacevic,Hard,3202.7999999999997,3750
John Isner,Hard,2972,3333.2999999999997
Dino Prizmic,Hard,3834.8999999999996,1666.7000000000003
Terence Atmane,Hard,3200,1428.5999999999997
Jason Kubler,Hard,3778.3,2000
Dominic Thiem,Hard,3370.6000000000004,4666.7
Marc Andrea Huesler,Hard,3216.2,2222.2000000000003
Taro Daniel,Hard,3493.3999999999996,3478.2999999999993
Fabio Fognini,Hard,3865.4000000000005,5714.3
J J Wolf,Hard,3555.2,3912.9999999999995
Lloyd Harris,Hard,2867.5,3000
Stan Wawrinka,Hard,3549,3888.9
Radu Albot,Hard,3750,2857.1000000000004
Yu Hsiou Hsu,Hard,3880.2999999999997,5000
Luca Van Assche,Hard,3477.0000000000005,4166.7
Zizou Bergs,Hard,3482.6,4000
Jaume Munar,Hard,3759.5999999999995,2500
Emilio Nava,Hard,3095.7999999999997,1666.7000000000003
Rinky Hijikata,Hard,3824.9,4583.3
James Duckworth,Hard,3044.9,4166.7
Yosuke Watanuki,Hard,3188.2000000000003,3333.2999999999997
Daniel Evans,Hard,3614,4482.8
Sumit Nagal,Hard,3537.2,5000
Liam Broady,Hard,3899.4,4000
Diego Schwartzman,Hard,3532.7,2666.7000000000003
Max Purcell,Hard,3417.4999999999995,3529.3999999999996
Quentin Halys,Hard,2937.2,3333.2999999999997
Arthur Rinderknech,Hard,3178,4000
Daniel Altmaier,Hard,3366.7999999999997,3809.5
Arthur Cazaux,Hard,3495.5999999999995,5000
Ilya Ivashka,Hard,3790.2999999999997,4000
Otto Virtanen,Hard,3478.2999999999993,6250
Richard Gasquet,Hard,3201.8999999999996,2142.8999999999996
Hugo Gaston,Hard,3636.3999999999996,4545.5
Aleksandar Vukic,Hard,3265.9999999999995,3846.2000000000003
Luca Nardi,Hard,3429.0999999999995,4285.7
Jiri Vesely,Hard,2879.1,4000
Albert Ramos,Hard,3146.9,1666.7000000000003
Soon Woo Kwon,Hard,3223.1000000000004,1250
Hugo Grenier,Hard,3461.5,3333.2999999999997
Juan Manuel Cerundolo,Hard,3812.1000000000004,6666.7
Maximilian Marterer,Hard,3079.5,3000
Daniel Elahi Galan,Hard,3588.0000000000005,2500
Benjamin Bonzi,Hard,3532.3999999999996,2500
Zachary Svajda,Hard,3446.2,3333.2999999999997
Elias Ymer,Hard,3540,3750
Maxime Cressy,Hard,3232.3,2000
Constant Lestienne,Hard,3741.2,2666.7000000000003
Juan Pablo Varillas,Hard,3365.5,3076.8999999999996
Shintaro Mochizuki,Hard,3403.9,3000
Jurij Rodionov,Hard,3514.1,4285.7
Abedallah Shelbayh,Hard,3557.5000000000005,2857.1000000000004
Bernabe Zapata Miralles,Hard,3499.4,1666.7000000000003
Pedro Cachin,Hard,3057.3,0
Sho Shimabukuro,Hard,3356,3750
Patrick Kypson,Hard,3035.3,5000
Gabriel Diallo,Hard,3739.8,5000
Seong Chan Hong,Hard,3183.8999999999996,0
