region,market,week_ending,type,avg_selling_price,total_units_th
West,Spokane,2018-11-25,Organic,2.66,4.778
South,Richmond/Norfolk,2020-05-24,Organic,1.42,20.621
South,New Orleans/Mobile,2020-01-19,Conventional,0.87,386.975
South,Raleigh/Greensboro,2019-10-27,Conventional,1.03,381.097
Northeast,Albany,2022-01-23,Conventional,1.122422306,147.707
Northeast,Syracuse,2024-04-28,Organic,1.22681,10.148
South,Nashville,2022-06-19,Organic,1.980505131,24.313
South,Tampa,2020-06-21,Conventional,1.12,638.093
West,Spokane,2022-02-13,Organic,2.193048286,5.469
South,Atlanta,2022-04-03,Conventional,1.121291912,826.767
West,San Francisco,2023-10-08,Conventional,1.027682582,961.345
Northeast,Boston,2020-03-08,Conventional,1.35,786.794
West,San Francisco,2021-10-31,Organic,2.069600703,73.04
Midwest,Columbus,2017-12-10,Organic,1.52,6.604
West,West Tex/New Mexico,2024-01-21,Conventional,0.861274261,932.836
Midwest,Chicago,2023-01-22,Conventional,0.97092181,1185.095
Northeast,Boston,2017-04-16,Organic,2,17.642
South,New Orleans/Mobile,2019-12-29,Organic,1.35,2.394
Northeast,Philadelphia,2018-02-04,Conventional,1.12,819.225
South,Richmond/Norfolk,2023-12-03,Organic,1.274643987,31.552
West,Las Vegas,2017-12-10,Conventional,1.03,288.442
South,Richmond/Norfolk,2023-11-05,Conventional,0.909925035,340.382
Midwest,Detroit,2023-06-04,Organic,1.323174507,23.031
South,Atlanta,2024-10-27,Conventional,1.202240768,814.545
Northeast,Buffalo/Rochester,2017-09-10,Conventional,1.46,142.197
Midwest,Columbus,2022-05-01,Conventional,1.168559962,337.851
South,Jacksonville,2019-12-15,Organic,1.2,2.869
Midwest,Columbus,2019-06-16,Organic,1.61,9.753
South,Charlotte,2024-04-07,Organic,1.37355,50.132
West,Portland,2021-05-23,Conventional,1.278514144,645.685
South,Baltimore/Washington,2020-05-10,Organic,1.56,76.649
West,Portland,2024-06-02,Organic,2.243508982,43.083
West,Denver,2022-07-31,Organic,1.878818722,41.531
South,Charlotte,2024-09-08,Conventional,1.30677207,401.357
South,Houston,2024-03-31,Organic,1.09928,33.185
South,Atlanta,2018-02-18,Organic,1.56,11.166
Midwest,Chicago,2023-04-09,Conventional,1.045064119,1135.258
South,Baltimore/Washington,2020-05-31,Organic,1.63,60.903
South,Richmond/Norfolk,2018-03-25,Conventional,1.1,316.218
Northeast,Philadelphia,2024-09-22,Conventional,1.242392561,656.472
South,Louisville,2017-02-05,Conventional,0.91,126.83
West,Phoenix/Tucson,2017-06-18,Organic,1.97,9.721
South,Richmond/Norfolk,2017-10-01,Conventional,1.59,112.519
West,Las Vegas,2023-09-24,Organic,1.496362578,19.052
Northeast,Buffalo/Rochester,2024-06-23,Organic,1.340171989,28.26
West,Spokane,2021-08-15,Conventional,1.1417291,94.049
South,Tampa,2023-02-12,Conventional,0.816209473,961.546
South,Tampa,2024-04-14,Conventional,1.05689,785.38
Northeast,New York,2024-05-26,Organic,1.527617149,160.084
West,Boise,2019-12-08,Conventional,0.92,114.926
Northeast,Harrisburg/Scranton,2022-07-31,Conventional,1.142440374,414.894
Midwest,Detroit,2023-04-30,Organic,1.321891672,23.554
West,Portland,2023-01-15,Conventional,1.256400535,539.546
South,Baltimore/Washington,2023-02-26,Conventional,1.002081743,1333.592
South,Louisville,2020-05-10,Organic,1.25,12.8
Northeast,New York,2019-12-15,Organic,1.73,61.887
South,Charlotte,2017-02-12,Conventional,1.25,206.763
South,Orlando,2024-09-08,Organic,1.669817927,38.117
Northeast,Pittsburgh,2020-02-09,Organic,1.14,17.585
South,Orlando,2017-08-06,Organic,1.82,4.036
Midwest,Cincinnati/Dayton,2020-05-17,Conventional,1.23,383.539
Northeast,Hartford/Springfield,2022-04-10,Organic,1.756397457,26.22
South,Roanoke,2024-07-14,Organic,1.719972347,16.989
South,Richmond/Norfolk,2019-10-13,Conventional,1.15,272.639
West,Seattle,2019-10-13,Conventional,1.5,502.551
West,San Diego,2024-12-29,Organic,2.035642657,21.72
South,Dallas/Ft. Worth,2018-12-02,Organic,1.37,30.337
South,Jacksonville,2019-10-27,Organic,0.96,8.204
Northeast,Buffalo/Rochester,2024-06-02,Conventional,1.191510844,240.829
South,Orlando,2019-04-14,Organic,1.37,6.597
West,Sacramento,2022-10-16,Conventional,1.460835644,403.676
Northeast,Pittsburgh,2019-12-15,Organic,1.16,8.448
West,San Diego,2018-01-07,Organic,2.06,16.747
South,Louisville,2018-04-01,Organic,1.45,5.152
Northeast,Pittsburgh,2017-01-08,Conventional,1.02,152.781
West,San Francisco,2024-03-03,Organic,1.823552,59.394
South,Louisville,2019-09-01,Conventional,1.15,128.501
Midwest,Chicago,2019-05-26,Organic,1.88,46.057
Midwest,Grand Rapids,2019-06-09,Organic,1.5,9.822
South,Raleigh/Greensboro,2022-03-06,Conventional,1.293400672,460.863
South,Baltimore/Washington,2021-08-29,Conventional,1.136311827,1082.717
West,Las Vegas,2020-04-26,Conventional,0.92,534.972
West,Seattle,2019-08-25,Conventional,1.87,465.869
West,Seattle,2024-12-22,Organic,2.712096655,38.045
West,Spokane,2017-09-10,Organic,2.86,2.914
South,Dallas/Ft. Worth,2019-09-29,Conventional,0.96,1361.629
West,Las Vegas,2019-07-14,Conventional,1.42,310.12
Northeast,New York,2017-12-24,Organic,1.85,74.78
Midwest,Cincinnati/Dayton,2023-07-23,Conventional,1.045372525,265.006
Midwest,Grand Rapids,2021-12-26,Conventional,1.382528039,146.848
South,Nashville,2018-06-10,Conventional,0.97,284.059
South,Jacksonville,2019-11-24,Organic,1.28,2.351
Northeast,Buffalo/Rochester,2017-07-09,Organic,2.55,5.37
Midwest,Detroit,2024-02-18,Organic,1.338722484,31.043
West,Denver,2021-01-17,Organic,1.219652184,56.122
West,Denver,2023-07-23,Organic,1.402003652,47.866
Midwest,Cincinnati/Dayton,2017-05-07,Organic,1.48,19.99
West,Boise,2021-08-22,Conventional,1.255563167,107.347
South,Baltimore/Washington,2021-05-16,Conventional,1.265655031,1143.23
West,Denver,2020-05-31,Conventional,1.01,1287.246
South,Miami/Ft. Lauderdale,2024-02-11,Conventional,0.89214964,1844.613
South,Louisville,2020-03-08,Organic,1.06,12.056
South,Dallas/Ft. Worth,2024-05-19,Organic,1.34817,64.257
Northeast,Buffalo/Rochester,2017-04-16,Organic,2.14,5.988
South,Baltimore/Washington,2024-11-24,Conventional,1.176721754,1126.727
South,New Orleans/Mobile,2017-07-23,Organic,1.28,2.328
South,Charlotte,2018-04-29,Organic,1.78,13.919
Midwest,Cincinnati/Dayton,2020-02-23,Conventional,1.03,316.745
South,Tampa,2019-01-07,Organic,1.45,6.513
South,New Orleans/Mobile,2017-07-02,Organic,1.89,2.701
Midwest,Chicago,2019-03-17,Conventional,1.09,796.938
Northeast,Boston,2022-02-13,Organic,1.77144162,37.824
South,South Carolina,2022-04-24,Conventional,1.398469692,520.192
Northeast,Boston,2023-01-29,Organic,1.66191323,34.068
South,Houston,2020-08-02,Organic,1.25,38.101
South,Nashville,2020-07-05,Conventional,0.89,365.053
Midwest,Detroit,2020-10-11,Organic,1.34,22.274
Midwest,Cincinnati/Dayton,2017-04-30,Organic,1.66,13.925
West,Portland,2017-12-17,Conventional,1.31,430.915
West,Spokane,2023-02-26,Organic,1.615909572,7.511
West,San Diego,2024-06-16,Organic,2.0032009140000002,31.414
West,Las Vegas,2022-05-01,Conventional,1.429314862,404.17
West,Boise,2022-05-15,Organic,2.539598687,6.702
West,Las Vegas,2019-11-17,Conventional,1.02,344.495
West,Denver,2021-11-28,Conventional,1.262852869,662.242
South,Houston,2024-05-12,Conventional,1.08052,1047.32
South,Jacksonville,2020-01-19,Organic,1.2,3.395
West,Spokane,2017-09-24,Conventional,1.83,144.891
Northeast,Albany,2019-05-12,Conventional,1.42,124.334
South,Raleigh/Greensboro,2024-10-20,Conventional,1.173874615,470.003
South,Orlando,2019-07-21,Conventional,1.39,433.116
Northeast,Albany,2018-10-28,Conventional,1.27,93.874
Midwest,St. Louis,2024-03-17,Conventional,0.810246,300.657
West,San Francisco,2023-10-22,Organic,1.939249838,54.657
Northeast,Philadelphia,2021-02-14,Organic,1.451938614,34.457
West,San Francisco,2019-11-03,Conventional,1.33,865.985
South,Atlanta,2023-12-24,Organic,1.023804814,79.726
West,Las Vegas,2019-10-27,Conventional,1.03,314.387
Northeast,Northern New England,2022-02-13,Conventional,1.008736153,712.149
Midwest,Wichita,2021-06-13,Conventional,0.921596445,121.161
South,Miami/Ft. Lauderdale,2024-04-28,Organic,1.31775,91.323
West,Seattle,2021-06-13,Organic,2.211069377,58.36
Northeast,Hartford/Springfield,2018-10-21,Conventional,1.44,289.086
West,Sacramento,2017-05-14,Organic,2.43,5.256
West,Phoenix/Tucson,2022-07-31,Conventional,1.175458309,954.195
South,Houston,2019-08-25,Organic,1.73,24.802
Midwest,Detroit,2023-06-11,Organic,1.30626315,23.176
South,New Orleans/Mobile,2019-06-30,Organic,1.14,5.034
South,New Orleans/Mobile,2021-01-24,Conventional,0.741834244,359.121
South,Charlotte,2017-04-09,Organic,2.02,8.815
Northeast,New York,2023-12-24,Conventional,1.314353741,1865.465
Northeast,Buffalo/Rochester,2019-06-30,Conventional,1.31,176.56
Northeast,Harrisburg/Scranton,2023-11-19,Conventional,1.125116916,363.974
Midwest,Cincinnati/Dayton,2022-02-13,Organic,1.991035507,17.716
West,Boise,2022-06-12,Conventional,1.488656937,132.773
West,San Diego,2023-06-25,Conventional,1.21105688,561.974
Northeast,Boston,2024-08-11,Organic,1.574918637,40.914
South,Tampa,2021-05-23,Conventional,1.120775632,658.235
Midwest,Detroit,2024-04-14,Organic,1.45433,31.526
South,Baltimore/Washington,2022-03-20,Organic,1.651463302,83.54
South,South Carolina,2018-07-22,Organic,1.48,18.982
Midwest,Columbus,2024-09-08,Organic,2.1438327,16.165
South,Roanoke,2018-09-23,Organic,1.79,6.507
Northeast,Hartford/Springfield,2017-11-05,Organic,2.17,12.29
South,Louisville,2023-07-23,Conventional,1.086033514,139.503
South,Miami/Ft. Lauderdale,2022-07-31,Organic,1.578716274,70.152
West,Boise,2017-02-12,Organic,1.58,2.376
South,Raleigh/Greensboro,2019-12-22,Organic,2.31,10.678
South,Miami/Ft. Lauderdale,2024-02-25,Organic,1.271644862,78.311
Midwest,Columbus,2022-06-19,Organic,1.958733545,13.809
West,Phoenix/Tucson,2021-04-11,Conventional,0.966910036,1224.663
South,Charlotte,2020-01-06,Conventional,1.04,336.573
West,Phoenix/Tucson,2021-07-25,Organic,1.391571107,31.713
Northeast,Syracuse,2024-11-17,Conventional,1.011898869,115.448
Midwest,Detroit,2023-03-19,Organic,1.293870447,21.513
West,Phoenix/Tucson,2017-07-30,Organic,1.9,10.626
South,Miami/Ft. Lauderdale,2023-02-12,Conventional,0.869234442,1476.514
South,Tampa,2019-06-16,Conventional,1.21,561.7
West,Los Angeles,2023-07-30,Organic,1.654716451,171.026
South,Roanoke,2020-03-08,Conventional,0.96,208.568
Northeast,Harrisburg/Scranton,2024-06-30,Organic,1.434198941,30.804
West,Phoenix/Tucson,2019-02-24,Organic,1.33,23.896
West,West Tex/New Mexico,2024-09-08,Conventional,1.204383869,852.988
South,Atlanta,2024-01-21,Organic,0.987128141,96.955
South,Miami/Ft. Lauderdale,2018-05-13,Conventional,1.37,741.44
West,Boise,2024-04-07,Organic,1.92044,6.705
West,West Tex/New Mexico,2020-08-02,Conventional,0.82,1104.277
South,Charlotte,2023-09-03,Organic,1.543286166,36.063
Northeast,Northern New England,2024-05-12,Organic,1.56754,21.175
South,Nashville,2022-10-02,Conventional,1.048610882,260.23
Midwest,Indianapolis,2022-04-10,Conventional,1.166040524,306.003
Northeast,New York,2022-10-16,Organic,1.757725528,111.499
South,Dallas/Ft. Worth,2020-10-25,Conventional,0.72,1694.695
South,Atlanta,2018-10-14,Conventional,0.97,689.992
West,Spokane,2023-10-08,Organic,2.249748623,4.742
South,Louisville,2022-06-19,Conventional,1.406104434,107.476
Midwest,Columbus,2017-10-22,Conventional,1.55,111.492
South,Richmond/Norfolk,2020-09-13,Organic,1.46,19.364
South,Baltimore/Washington,2019-03-03,Conventional,1.34,895.248
South,Miami/Ft. Lauderdale,2023-11-12,Conventional,1.004977128,1154.5
South,Orlando,2019-11-24,Conventional,0.92,426.644
Northeast,Philadelphia,2018-01-01,Organic,1.6,21.942
West,Phoenix/Tucson,2019-05-12,Conventional,0.99,1273.298
Northeast,Northern New England,2018-06-03,Organic,1.6,19.008
Midwest,Detroit,2017-10-08,Conventional,2.19,86.754
South,South Carolina,2020-06-14,Organic,1.5,33.131
Northeast,Hartford/Springfield,2019-01-13,Conventional,1.32,393.302
South,Charlotte,2023-10-22,Organic,1.421162224,35.666
Midwest,Grand Rapids,2017-06-18,Conventional,1.29,245.294
South,Jacksonville,2022-08-21,Organic,2.001558361,11.079
West,Seattle,2019-12-15,Conventional,1.23,631.259
South,South Carolina,2022-10-09,Conventional,1.084733595,506.125
West,Las Vegas,2020-02-09,Organic,1.51,11.854
South,New Orleans/Mobile,2017-01-22,Organic,1.31,4.029
Northeast,Albany,2020-10-11,Organic,1.51,3.009
Northeast,Buffalo/Rochester,2017-07-30,Conventional,1.32,146.07
Northeast,Pittsburgh,2023-06-25,Conventional,1.028693226,190.445
Northeast,Albany,2017-07-30,Conventional,1.61,83.6
West,San Diego,2023-08-27,Organic,1.947843522,24.035
South,Baltimore/Washington,2018-01-01,Conventional,1.15,849.488
West,Denver,2023-04-16,Organic,1.156268208,63.817
West,San Diego,2017-01-15,Conventional,0.87,580.191
South,Houston,2018-01-01,Organic,1.36,25.591
